7,0.0
13,0.001
14,0.002
18,0.003
19,0.004
25,0.005
26,0.006
31,0.007
34,0.008
36,0.009
37,0.01
38,0.011
43,0.012
47,0.013
48,0.014
54,0.015
55,0.016
61,0.017
64,0.018
65,0.019
67,0.02
71,0.021
72,0.022
73,0.023
75,0.024
77,0.025
81,0.026
82,0.027
84,0.028
85,0.029
89,0.03
94,0.031
97,0.032
98,0.033
100,0.034
101,0.035
106,0.036
109,0.037
115,0.038
116,0.039
121,0.04
126,0.041
127,0.042
129,0.043
131,0.044
139,0.045
140,0.046
144,0.047
146,0.048
152,0.049
162,0.05
167,0.051
172,0.052
173,0.053
177,0.054
184,0.055
187,0.056
190,0.057
193,0.058
197,0.059
198,0.06
201,0.061
203,0.062
209,0.063
213,0.064
214,0.065
221,0.066
224,0.067
226,0.068
227,0.069
238,0.07
239,0.071
241,0.072
243,0.073
248,0.074
251,0.075
252,0.076
253,0.077
259,0.078
260,0.079
261,0.08
263,0.081
264,0.082
266,0.083
267,0.084
270,0.085
271,0.086
272,0.087
273,0.088
274,0.089
276,0.09
280,0.091
285,0.092
290,0.093
297,0.094
298,0.095
302,0.096
305,0.097
311,0.098
317,0.099
318,0.1
321,0.101
324,0.102
327,0.103
332,0.104
334,0.105
335,0.106
337,0.107
340,0.108
345,0.109
347,0.11
350,0.111
351,0.112
352,0.113
360,0.114
361,0.115
366,0.116
368,0.117
369,0.118
371,0.119
373,0.12
375,0.121
377,0.122
378,0.123
380,0.124
386,0.125
387,0.126
393,0.127
394,0.128
397,0.129
401,0.13
403,0.131
411,0.132
412,0.133
413,0.134
414,0.135
416,0.136
417,0.137
420,0.138
421,0.139
423,0.14
425,0.141
426,0.142
427,0.143
431,0.144
440,0.145
441,0.146
444,0.147
447,0.148
453,0.149
457,0.15
458,0.151
464,0.152
470,0.153
472,0.154
482,0.155
484,0.156
486,0.157
493,0.158
495,0.159
497,0.16
498,0.161
499,0.162
504,0.163
505,0.164
507,0.165
513,0.166
518,0.167
520,0.168
523,0.169
529,0.17
532,0.171
537,0.172
541,0.173
543,0.174
544,0.175
549,0.176
554,0.177
558,0.178
560,0.179
562,0.18
566,0.181
569,0.182
570,0.183
574,0.184
575,0.185
583,0.186
584,0.187
587,0.188
589,0.189
592,0.19
598,0.191
600,0.192
606,0.193
607,0.194
618,0.195
619,0.196
620,0.197
625,0.198
627,0.199
629,0.2
631,0.201
632,0.202
636,0.203
639,0.204
640,0.205
644,0.206
647,0.207
649,0.208
650,0.209
655,0.21
656,0.211
657,0.212
660,0.213
666,0.214
668,0.215
672,0.216
673,0.217
679,0.218
680,0.219
687,0.22
688,0.221
691,0.222
692,0.223
693,0.224
694,0.225
698,0.226
705,0.227
